Date,Depth,Temp
2006-10-01,1,58
2006-10-02,0,57
2006-10-03,1,57
2006-10-04,1,60
2006-10-05,1,54
2006-10-06,1,45
2006-10-07,1,46
2006-10-08,1,41
2006-10-09,1,
2006-10-10,,
2006-10-11,,38
2006-10-12,5,44
2006-10-13,3,49
2006-10-14,3,44
2006-10-15,2,44
2006-10-16,3,41
2006-10-17,2,42
2006-10-18,3,38
2006-10-19,3,42
2006-10-20,3,44
2006-10-21,2,44
2006-10-22,2,42
2006-10-23,2,53
2006-10-24,1,46
2006-10-25,2,35
2006-10-26,2,27
2006-10-27,3,49
2006-10-28,2,52
2006-10-29,1,48
2006-10-30,2,39
2006-10-31,1,43
2006-11-01,2,40
2006-11-02,2,41
2006-11-03,1,45
2006-11-04,1,46
2006-11-05,1,41
2006-11-06,1,45
2006-11-07,1,52
2006-11-08,0,53
2006-11-09,1,48
2006-11-10,1,34
2006-11-11,1,44
2006-11-12,1,37
2006-11-13,2,31
2006-11-14,2,33
2006-11-15,2,31
2006-11-16,1,40
2006-11-17,1,42
2006-11-18,1,44
2006-11-19,1,40
2006-11-20,1,46
2006-11-21,1,52
2006-11-22,1,49
2006-11-23,1,46
2006-11-24,1,41
2006-11-25,1,40
2006-11-26,1,37
2006-11-27,1,31
2006-11-28,1,26
2006-11-29,1,19
2006-11-30,11,21
2006-12-01,8,28
2006-12-02,7,24
2006-12-03,7,28
2006-12-04,7,39
2006-12-05,6,35
2006-12-06,6,40
2006-12-07,6,36
2006-12-08,6,42
2006-12-09,5,31
2006-12-10,5,31
2006-12-11,6,20
2006-12-12,11,25
2006-12-13,10,36
2006-12-14,9,39
2006-12-15,9,44
2006-12-16,8,39
2006-12-17,8,33
2006-12-18,8,26
2006-12-19,9,25
2006-12-20,11,18
2006-12-21,28,24
2006-12-22,23,33
2006-12-23,20,31
2006-12-24,18,31
2006-12-25,17,31
2006-12-26,15,36
2006-12-27,14,38
2006-12-28,14,26
2006-12-29,18,25
2006-12-30,23,23
2006-12-31,28,29
2007-01-01,26,34
2007-01-02,24,35
2007-01-03,22,40
2007-01-04,21,35
2007-01-05,20,23
2007-01-06,,17
2007-01-07,24,32
2007-01-08,21,43
2007-01-09,20,42
2007-01-10,20,40
2007-01-11,19,33
2007-01-12,19,28
2007-01-13,20,24
2007-01-14,26,19
2007-01-15,35,16
2007-01-16,32,15
2007-01-17,30,18
2007-01-18,29,31
2007-01-19,28,32
2007-01-20,27,23
2007-01-21,32,18
2007-01-22,31,25
2007-01-23,30,30
2007-01-24,29,33
2007-01-25,29,40
2007-01-26,28,33
2007-01-27,28,31
2007-01-28,27,29
2007-01-29,27,32
2007-01-30,27,32
2007-01-31,27,21
2007-02-01,31,14
2007-02-02,36,6
2007-02-03,35,20
2007-02-04,33,43
2007-02-05,32,46
2007-02-06,31,52
2007-02-07,31,39
2007-02-08,30,43
2007-02-09,30,39
2007-02-10,30,35
2007-02-11,29,30
2007-02-12,38,25
2007-02-13,39,26
2007-02-14,40,20
2007-02-15,53,15
2007-02-16,52,29
2007-02-17,49,30
2007-02-18,47,38
2007-02-19,45,34
2007-02-20,45,23
2007-02-21,44,40
2007-02-22,42,42
2007-02-23,42,40
2007-02-24,43,17
2007-02-25,43,34
2007-02-26,42,35
2007-02-27,41,37
2007-02-28,41,26
2007-03-01,40,12
2007-03-02,41,20
2007-03-03,41,21
2007-03-04,41,40
2007-03-05,39,50
2007-03-06,39,50
2007-03-07,38,42
2007-03-08,38,35
2007-03-09,38,45
2007-03-10,38,39
2007-03-11,38,37
2007-03-12,39,45
2007-03-13,39,49
2007-03-14,37,48
2007-03-15,36,49
2007-03-16,36,48
2007-03-17,35,53
2007-03-18,34,53
2007-03-19,32,50
2007-03-20,33,46
2007-03-21,32,48
2007-03-22,32,36
2007-03-23,36,39
2007-03-24,40,31
2007-03-25,42,38
2007-03-26,40,44
2007-03-27,39,47
2007-03-28,38,32
2007-03-29,38,26
2007-03-30,38,28
2007-03-31,41,35
2007-04-01,40,46
2007-04-02,39,49
2007-04-03,37,49
2007-04-04,37,52
2007-04-05,36,50
2007-04-06,36,48
2007-04-07,35,33
2007-04-08,38,35
2007-04-09,38,36
2007-04-10,40,30
2007-04-11,40,28
2007-04-12,41,32
2007-04-13,44,28
2007-04-14,50,35
2007-04-15,47,45
2007-04-16,44,47
2007-04-17,43,40
2007-04-18,42,47
2007-04-19,41,43
2007-04-20,40,49
2007-04-21,39,35
2007-04-22,41,44
2007-04-23,39,46
2007-04-24,46,29
2007-04-25,47,40
2007-04-26,44,49
2007-04-27,42,54
2007-04-28,40,51
2007-04-29,43,51
2007-04-30,42,54
2007-05-01,40,55
2007-05-02,41,40
2007-05-03,43,47
2007-05-04,41,48
2007-05-05,40,32
2007-05-06,45,35
2007-05-07,44,43
2007-05-08,41,48
2007-05-09,,49
2007-05-10,41,52
2007-05-11,40,52
2007-05-12,39,54
2007-05-13,39,57
2007-05-14,37,54
2007-05-15,36,52
2007-05-16,34,50
2007-05-17,33,43
2007-05-18,32,54
2007-05-19,32,54
2007-05-20,32,51
2007-05-21,30,50
2007-05-22,30,49
2007-05-23,29,47
2007-05-24,29,48
2007-05-25,26,53
2007-05-26,24,53
2007-05-27,24,54
2007-05-28,23,55
2007-05-29,21,57
2007-05-30,19,55
2007-05-31,18,59
