Date,Depth,Temp
2017-10-01,0,48
2017-10-02,0,52
2017-10-03,0,58
2017-10-04,0,51
2017-10-05,0,49
2017-10-06,0,47
2017-10-07,0,57
2017-10-08,0,54
2017-10-09,0,41
2017-10-10,0,49
2017-10-11,0,54
2017-10-12,0,54
2017-10-13,0,54
2017-10-14,0,51
2017-10-15,0,54
2017-10-16,0,53
2017-10-17,0,51
2017-10-18,0,56
2017-10-19,0,55
2017-10-20,0,48
2017-10-21,0,42
2017-10-22,0,45
2017-10-23,0,55
2017-10-24,0,50
2017-10-25,0,49
2017-10-26,0,50
2017-10-27,0,40
2017-10-28,0,43
2017-10-29,0,48
2017-10-30,0,48
2017-10-31,0,33
2017-11-01,0,44
2017-11-02,0,46
2017-11-03,0,45
2017-11-04,0,41
2017-11-05,0,39
2017-11-06,0,42
2017-11-07,0,33
2017-11-08,3,43
2017-11-09,3,47
2017-11-10,3,49
2017-11-11,2,46
2017-11-12,2,47
2017-11-13,2,48
2017-11-14,2,49
2017-11-15,2,43
2017-11-16,2,47
2017-11-17,2,37
2017-11-18,1,38
2017-11-19,1,40
2017-11-20,1,38
2017-11-21,1,44
2017-11-22,1,49
2017-11-23,1,50
2017-11-24,1,48
2017-11-25,1,45
2017-11-26,1,53
2017-11-27,1,49
2017-11-28,1,35
2017-11-29,0,45
2017-11-30,0,40
2017-12-01,0,40
2017-12-02,0,41
2017-12-03,0,40
2017-12-04,0,31
2017-12-05,0,31
2017-12-06,0,31
2017-12-07,0,14
2017-12-08,0,31
2017-12-09,0,41
2017-12-10,0,43
2017-12-11,0,48
2017-12-12,0,46
2017-12-13,0,48
2017-12-14,0,29
2017-12-15,0,39
2017-12-16,0,46
2017-12-17,0,38
2017-12-18,0,38
2017-12-19,0,41
2017-12-20,0,37
2017-12-21,0,31
2017-12-22,0,20
2017-12-23,0,29
2017-12-24,0,31
2017-12-25,0,35
2017-12-26,0,40
2017-12-27,0,37
2017-12-28,0,38
2017-12-29,0,40
2017-12-30,0,47
2017-12-31,0,39
2018-01-01,0,37
2018-01-02,0,32
2018-01-03,0,40
2018-01-04,0,40
2018-01-05,0,40
2018-01-06,0,40
2018-01-07,0,35
2018-01-08,1,47
2018-01-09,1,44
2018-01-10,1,31
2018-01-11,4,22
2018-01-12,4,28
2018-01-13,4,36
2018-01-14,4,41
2018-01-15,4,38
2018-01-16,4,34
2018-01-17,4,40
2018-01-18,4,43
2018-01-19,4,44
2018-01-20,4,39
2018-01-21,4,23
2018-01-22,14,17
2018-01-23,11,30
2018-01-24,10,38
2018-01-25,9,37
2018-01-26,9,28
2018-01-27,9,35
2018-01-28,9,43
2018-01-29,8,38
2018-01-30,7,44
2018-01-31,7,43
2018-02-01,7,43
2018-02-02,7,42
2018-02-03,7,36
2018-02-04,7,42
2018-02-05,7,39
2018-02-06,7,33
2018-02-07,7,35
2018-02-08,7,41
2018-02-09,7,42
2018-02-10,7,39
2018-02-11,7,24
2018-02-12,9,27
2018-02-13,9,37
2018-02-14,9,39
2018-02-15,13,26
2018-02-16,19,27
2018-02-17,19,37
2018-02-18,17,37
2018-02-19,17,31
2018-02-20,19,17
2018-02-21,19,23
2018-02-22,19,21
2018-02-23,19,28
2018-02-24,19,17
2018-02-25,19,20
2018-02-26,19,35
2018-02-27,19,39
2018-02-28,18,28
2018-03-01,18,37
2018-03-02,18,42
2018-03-03,16,44
2018-03-04,17,39
2018-03-05,17,27
2018-03-06,17,33
2018-03-07,17,40
2018-03-08,17,40
2018-03-09,16,43
2018-03-10,16,42
2018-03-11,16,33
2018-03-12,16,34
2018-03-13,16,43
2018-03-14,16,44
2018-03-15,15,39
2018-03-16,15,31
2018-03-17,16,39
2018-03-18,16,30
2018-03-19,18,29
2018-03-20,18,36
2018-03-21,17,45
2018-03-22,16,52
2018-03-23,15,40
2018-03-24,15,44
2018-03-25,14,44
2018-03-26,14,39
2018-03-27,14,33
2018-03-28,15,39
2018-03-29,15,39
2018-03-30,15,43
2018-03-31,14,48
2018-04-01,14,45
2018-04-02,13,47
2018-04-03,13,45
2018-04-04,12,47
2018-04-05,12,47
2018-04-06,11,48
2018-04-07,10,53
2018-04-08,9,47
2018-04-09,8,44
2018-04-10,8,49
2018-04-11,7,54
2018-04-12,5,52
2018-04-13,4,26
2018-04-14,3,36
2018-04-15,5,47
2018-04-16,4,51
2018-04-17,3,49
2018-04-18,2,46
2018-04-19,1,48
2018-04-20,0,36
2018-04-21,0,42
2018-04-22,0,52
2018-04-23,0,53
2018-04-24,0,58
2018-04-25,0,49
2018-04-26,0,53
2018-04-27,0,52
2018-04-28,0,50
2018-04-29,0,56
2018-04-30,0,50
2018-05-01,0,49
2018-05-02,0,47
2018-05-03,3,35
2018-05-04,2,46
2018-05-05,1,53
2018-05-06,0,56
2018-05-07,0,62
2018-05-08,0,58
2018-05-09,0,61
2018-05-10,0,64
2018-05-11,0,60
2018-05-12,0,62
2018-05-13,0,58
2018-05-14,0,57
2018-05-15,0,58
2018-05-16,0,62
2018-05-17,0,63
2018-05-18,0,58
2018-05-19,0,59
2018-05-20,0,57
2018-05-21,0,61
2018-05-22,0,56
2018-05-23,0,52
2018-05-24,0,60
2018-05-25,0,65
2018-05-26,0,64
2018-05-27,0,65
2018-05-28,0,61
2018-05-29,0,61
2018-05-30,0,66
2018-05-31,0,68
