Date,Depth,Temp
2014-10-01,0,49
2014-10-02,0,47
2014-10-03,0,52
2014-10-04,0,53
2014-10-05,0,55
2014-10-06,0,54
2014-10-07,0,57
2014-10-08,0,55
2014-10-09,0,46
2014-10-10,0,36
2014-10-11,0,45
2014-10-12,0,39
2014-10-13,0,38
2014-10-14,0,53
2014-10-15,0,57
2014-10-16,0,54
2014-10-17,0,53
2014-10-18,0,44
2014-10-19,0,47
2014-10-20,0,51
2014-10-21,0,40
2014-10-22,0,46
2014-10-23,0,49
2014-10-24,0,56
2014-10-25,0,59
2014-10-26,0,48
2014-10-27,0,47
2014-10-28,0,45
2014-10-29,0,47
2014-10-30,0,53
2014-10-31,0,48
2014-11-01,0,44
2014-11-02,0,35
2014-11-03,4,31
2014-11-04,5,31
2014-11-05,5,44
2014-11-06,5,49
2014-11-07,4,47
2014-11-08,4,44
2014-11-09,4,45
2014-11-10,4,43
2014-11-11,4,38
2014-11-12,4,29
2014-11-13,4,30
2014-11-14,4,30
2014-11-15,4,28
2014-11-16,5,25
2014-11-17,13,23
2014-11-18,11,27
2014-11-19,10,36
2014-11-20,9,33
2014-11-21,9,36
2014-11-22,9,34
2014-11-23,9,24
2014-11-24,9,15
2014-11-25,10,22
2014-11-26,10,34
2014-11-27,10,49
2014-11-28,9,47
2014-11-29,9,42
2014-11-30,9,37
2014-12-01,9,36
2014-12-02,9,41
2014-12-03,9,41
2014-12-04,9,36
2014-12-05,15,35
2014-12-06,15,30
2014-12-07,15,34
2014-12-08,15,40
2014-12-09,15,43
2014-12-10,14,43
2014-12-11,14,40
2014-12-12,14,45
2014-12-13,14,34
2014-12-14,17,21
2014-12-15,20,27
2014-12-16,19,31
2014-12-17,19,24
2014-12-18,24,24
2014-12-19,24,30
2014-12-20,23,33
2014-12-21,23,26
2014-12-22,22,26
2014-12-23,26,12
2014-12-24,25,30
2014-12-25,23,23
2014-12-26,28,13
2014-12-27,30,14
2014-12-28,30,20
2014-12-29,29,19
2014-12-30,28,20
2014-12-31,27,29
2015-01-01,27,19
2015-01-02,27,26
2015-01-03,26,22
2015-01-04,26,31
2015-01-05,25,41
2015-01-06,24,46
2015-01-07,24,42
2015-01-08,24,45
2015-01-09,24,34
2015-01-10,24,35
2015-01-11,24,26
2015-01-12,24,26
2015-01-13,24,26
2015-01-14,28,25
2015-01-15,28,35
2015-01-16,28,37
2015-01-17,27,38
2015-01-18,27,37
2015-01-19,26,38
2015-01-20,26,34
2015-01-21,26,25
2015-01-22,33,21
2015-01-23,33,34
2015-01-24,32,36
2015-01-25,30,42
2015-01-26,29,46
2015-01-27,29,44
2015-01-28,29,39
2015-01-29,29,31
2015-01-30,29,30
2015-01-31,36,30
2015-02-01,40,27
2015-02-02,40,29
2015-02-03,38,33
2015-02-04,38,35
2015-02-05,37,39
2015-02-06,36,48
2015-02-07,36,41
2015-02-08,36,45
2015-02-09,35,47
2015-02-10,35,45
2015-02-11,34,27
2015-02-12,36,45
2015-02-13,35,46
2015-02-14,34,45
2015-02-15,34,42
2015-02-16,34,26
2015-02-17,37,21
2015-02-18,39,37
2015-02-19,37,40
2015-02-20,35,42
2015-02-21,35,26
2015-02-22,35,26
2015-02-23,34,26
2015-02-24,35,25
2015-02-25,37,31
2015-02-26,37,18
2015-02-27,38,19
2015-02-28,41,26
2015-03-01,46,31
2015-03-02,45,31
2015-03-03,49,26
2015-03-04,48,24
2015-03-05,50,26
2015-03-06,48,40
2015-03-07,47,43
2015-03-08,47,40
2015-03-09,46,38
2015-03-10,46,43
2015-03-11,45,43
2015-03-12,45,44
2015-03-13,44,39
2015-03-14,44,36
2015-03-15,44,50
2015-03-16,43,50
2015-03-17,42,45
2015-03-18,41,45
2015-03-19,41,39
2015-03-20,50,36
2015-03-21,49,40
2015-03-22,47,45
2015-03-23,45,45
2015-03-24,44,44
2015-03-25,44,42
2015-03-26,44,39
2015-03-27,43,48
2015-03-28,42,50
2015-03-29,41,52
2015-03-30,41,52
2015-03-31,40,52
2015-04-01,40,48
2015-04-02,39,45
2015-04-03,38,40
2015-04-04,39,45
2015-04-05,38,46
2015-04-06,37,47
2015-04-07,36,46
2015-04-08,36,46
2015-04-09,36,44
2015-04-10,35,46
2015-04-11,34,46
2015-04-12,34,47
2015-04-13,33,43
2015-04-14,33,47
2015-04-15,32,42
2015-04-16,32,41
2015-04-17,32,32
2015-04-18,34,30
2015-04-19,35,42
2015-04-20,33,43
2015-04-21,32,49
2015-04-22,31,47
2015-04-23,31,49
2015-04-24,30,30
2015-04-25,32,35
2015-04-26,32,31
2015-04-27,36,36
2015-04-28,35,39
2015-04-29,35,50
2015-04-30,32,55
2015-05-01,31,56
2015-05-02,29,54
2015-05-03,28,52
2015-05-04,27,50
2015-05-05,32,38
2015-05-06,33,36
2015-05-07,32,43
2015-05-08,32,47
2015-05-09,31,35
2015-05-10,31,40
2015-05-11,29,50
2015-05-12,29,44
2015-05-13,31,40
2015-05-14,31,46
2015-05-15,30,36
2015-05-16,40,30
2015-05-17,44,40
2015-05-18,40,44
2015-05-19,37,42
2015-05-20,36,51
2015-05-21,35,48
2015-05-22,38,43
2015-05-23,35,45
2015-05-24,34,38
2015-05-25,34,45
2015-05-26,35,51
2015-05-27,32,55
2015-05-28,31,55
2015-05-29,29,53
2015-05-30,28,52
2015-05-31,27,58
