Date,Depth,Temp
2010-10-01,0,65
2010-10-02,0,60
2010-10-03,0,56
2010-10-04,0,56
2010-10-05,0,56
2010-10-06,0,54
2010-10-07,0,58
2010-10-08,0,52
2010-10-09,0,50
2010-10-10,0,51
2010-10-11,0,49
2010-10-12,0,52
2010-10-13,0,51
2010-10-14,0,52
2010-10-15,0,54
2010-10-16,0,58
2010-10-17,0,57
2010-10-18,0,45
2010-10-19,0,51
2010-10-20,0,54
2010-10-21,0,42
2010-10-22,1,34
2010-10-23,2,33
2010-10-24,2,36
2010-10-25,2,36
2010-10-26,2,30
2010-10-27,2,32
2010-10-28,2,53
2010-10-29,1,51
2010-10-30,2,53
2010-10-31,1,46
2010-11-01,1,43
2010-11-02,1,50
2010-11-03,0,48
2010-11-04,0,43
2010-11-05,0,52
2010-11-06,0,51
2010-11-07,0,47
2010-11-08,0,51
2010-11-09,0,32
2010-11-10,0,35
2010-11-11,0,33
2010-11-12,0,31
2010-11-13,0,33
2010-11-14,0,35
2010-11-15,0,25
2010-11-16,0,32
2010-11-17,0,36
2010-11-18,0,46
2010-11-19,0,46
2010-11-20,0,44
2010-11-21,0,33
2010-11-22,0,24
2010-11-23,2,29
2010-11-24,2,26
2010-11-25,2,25
2010-11-26,2,39
2010-11-27,2,40
2010-11-28,2,29
2010-11-29,2,16
2010-11-30,5,24
2010-12-01,4,35
2010-12-02,4,42
2010-12-03,3,46
2010-12-04,1,45
2010-12-05,1,44
2010-12-06,1,43
2010-12-07,1,30
2010-12-08,1,41
2010-12-09,0,41
2010-12-10,0,36
2010-12-11,0,33
2010-12-12,0,37
2010-12-13,0,44
2010-12-14,0,47
2010-12-15,0,41
2010-12-16,0,28
2010-12-17,13,24
2010-12-18,15,27
2010-12-19,14,32
2010-12-20,13,31
2010-12-21,13,32
2010-12-22,13,33
2010-12-23,12,29
2010-12-24,14,31
2010-12-25,13,37
2010-12-26,13,35
2010-12-27,13,32
2010-12-28,12,30
2010-12-29,12,26
2010-12-30,15,21
2010-12-31,25,-1
2011-01-01,24,13
2011-01-02,22,23
2011-01-03,20,29
2011-01-04,20,20
2011-01-05,19,29
2011-01-06,18,42
2011-01-07,18,44
2011-01-08,18,34
2011-01-09,17,27
2011-01-10,17,17
2011-01-11,17,24
2011-01-12,17,31
2011-01-13,17,47
2011-01-14,17,40
2011-01-15,17,43
2011-01-16,16,36
2011-01-17,16,34
2011-01-18,16,38
2011-01-19,16,37
2011-01-20,16,22
2011-01-21,17,30
2011-01-22,17,32
2011-01-23,17,24
2011-01-24,17,20
2011-01-25,22,38
2011-01-26,20,29
2011-01-27,20,42
2011-01-28,19,48
2011-01-29,18,44
2011-01-30,18,37
2011-01-31,18,24
2011-02-01,29,12
2011-02-02,35,-1
2011-02-03,32,13
2011-02-04,30,29
2011-02-05,27,26
2011-02-06,29,19
2011-02-07,28,27
2011-02-08,27,21
2011-02-09,29,12
2011-02-10,28,24
2011-02-11,27,38
2011-02-12,26,36
2011-02-13,25,44
2011-02-14,24,46
2011-02-15,24,46
2011-02-16,24,44
2011-02-17,24,37
2011-02-18,24,45
2011-02-19,23,43
2011-02-20,23,28
2011-02-21,26,31
2011-02-22,25,36
2011-02-23,25,38
2011-02-24,25,26
2011-02-25,27,32
2011-02-26,26,36
2011-02-27,26,28
2011-02-28,30,38
2011-03-01,28,47
2011-03-02,28,44
2011-03-03,27,45
2011-03-04,26,36
2011-03-05,26,34
2011-03-06,26,41
2011-03-07,26,33
2011-03-08,29,24
2011-03-09,32,35
2011-03-10,31,44
2011-03-11,30,48
2011-03-12,29,49
2011-03-13,29,41
2011-03-14,29,48
2011-03-15,29,44
2011-03-16,28,50
2011-03-17,28,50
2011-03-18,27,48
2011-03-19,26,48
2011-03-20,25,46
2011-03-21,25,49
2011-03-22,25,31
2011-03-23,28,42
2011-03-24,27,44
2011-03-25,27,42
2011-03-26,26,41
2011-03-27,25,41
2011-03-28,25,45
2011-03-29,25,41
2011-03-30,25,39
2011-03-31,25,49
2011-04-01,24,53
2011-04-02,23,57
2011-04-03,22,47
2011-04-04,22,36
2011-04-05,22,53
2011-04-06,21,50
2011-04-07,25,34
2011-04-08,27,43
2011-04-09,25,46
2011-04-10,25,30
2011-04-11,25,45
2011-04-12,24,48
2011-04-13,23,49
2011-04-14,23,37
2011-04-15,23,43
2011-04-16,22,49
2011-04-17,22,54
2011-04-18,21,53
2011-04-19,19,45
2011-04-20,19,53
2011-04-21,19,51
2011-04-22,17,49
2011-04-23,16,42
2011-04-24,17,42
2011-04-25,18,34
2011-04-26,21,29
2011-04-27,24,37
2011-04-28,22,49
2011-04-29,20,53
2011-04-30,18,41
2011-05-01,18,29
2011-05-02,21,29
2011-05-03,23,46
2011-05-04,19,53
2011-05-05,18,52
2011-05-06,16,57
2011-05-07,15,58
2011-05-08,13,56
2011-05-09,12,53
2011-05-10,12,52
2011-05-11,10,31
2011-05-12,11,47
2011-05-13,10,55
2011-05-14,8,54
2011-05-15,6,53
2011-05-16,4,56
2011-05-17,3,49
2011-05-18,1,49
2011-05-19,1,31
2011-05-20,2,36
2011-05-21,2,47
2011-05-22,1,55
2011-05-23,0,55
2011-05-24,0,40
2011-05-25,0,54
2011-05-26,0,58
2011-05-27,0,63
2011-05-28,0,63
2011-05-29,0,62
2011-05-30,0,51
2011-05-31,0,63
