Date,Depth,Temp
2018-10-01,0,59
2018-10-02,0,55
2018-10-03,0,52
2018-10-04,0,52
2018-10-05,0,52
2018-10-06,0,51
2018-10-07,0,46
2018-10-08,0,39
2018-10-09,0,34
2018-10-10,0,34
2018-10-11,1,38
2018-10-12,1,46
2018-10-13,0,47
2018-10-14,0,35
2018-10-15,6,35
2018-10-16,6,37
2018-10-17,5,33
2018-10-18,5,38
2018-10-19,5,47
2018-10-20,3,47
2018-10-21,3,47
2018-10-22,3,45
2018-10-23,3,37
2018-10-24,6,36
2018-10-25,8,35
2018-10-26,8,39
2018-10-27,8,48
2018-10-28,7,53
2018-10-29,7,52
2018-10-30,6,44
2018-10-31,11,29
2018-11-01,16,27
2018-11-02,15,38
2018-11-03,14,33
2018-11-04,14,38
2018-11-05,13,37
2018-11-06,13,42
2018-11-07,13,41
2018-11-08,13,40
2018-11-09,13,37
2018-11-10,13,35
2018-11-11,13,26
2018-11-12,22,14
2018-11-13,23,28
2018-11-14,21,39
2018-11-15,20,39
2018-11-16,19,42
2018-11-17,18,40
2018-11-18,18,36
2018-11-19,18,40
2018-11-20,18,41
2018-11-21,17,43
2018-11-22,17,34
2018-11-23,17,26
2018-11-24,19,36
2018-11-25,19,30
2018-11-26,19,35
2018-11-27,18,36
2018-11-28,18,43
2018-11-29,18,37
2018-11-30,18,28
2018-12-01,19,18
2018-12-02,22,17
2018-12-03,22,17
2018-12-04,23,24
2018-12-05,22,37
2018-12-06,21,33
2018-12-07,23,30
2018-12-08,25,28
2018-12-09,25,31
2018-12-10,25,42
2018-12-11,24,36
2018-12-12,24,33
2018-12-13,27,30
2018-12-14,25,41
2018-12-15,25,38
2018-12-16,24,43
2018-12-17,24,32
2018-12-18,24,39
2018-12-19,24,31
2018-12-20,24,34
2018-12-21,23,39
2018-12-22,23,34
2018-12-23,23,36
2018-12-24,23,32
2018-12-25,23,35
2018-12-26,23,26
2018-12-27,24,19
2018-12-28,29,9
2018-12-29,30,17
2018-12-30,31,26
2018-12-31,32,18
2019-01-01,34,16
2019-01-02,37,25
2019-01-03,35,32
2019-01-04,33,45
2019-01-05,31,46
2019-01-06,31,30
2019-01-07,33,27
2019-01-08,32,41
2019-01-09,31,44
2019-01-10,31,43
2019-01-11,31,26
2019-01-12,36,22
2019-01-13,34,20
2019-01-14,39,28
2019-01-15,37,31
2019-01-16,37,25
2019-01-17,37,33
2019-01-18,37,25
2019-01-19,44,31
2019-01-20,42,38
2019-01-21,41,34
2019-01-22,46,18
2019-01-23,46,22
2019-01-24,46,24
2019-01-25,45,25
2019-01-26,43,25
2019-01-27,42,35
2019-01-28,41,34
2019-01-29,40,31
2019-01-30,40,31
2019-01-31,40,33
2019-02-01,39,35
2019-02-02,39,34
2019-02-03,39,31
2019-02-04,38,33
2019-02-05,38,28
2019-02-06,38,20
2019-02-07,42,13
2019-02-08,42,30
2019-02-09,42,35
2019-02-10,41,31
2019-02-11,41,18
2019-02-12,45,31
2019-02-13,43,37
2019-02-14,42,33
2019-02-15,45,31
2019-02-16,43,26
2019-02-17,42,20
2019-02-18,46,17
2019-02-19,49,14
2019-02-20,53,15
2019-02-21,50,23
2019-02-22,48,23
2019-02-23,58,17
2019-02-24,64,30
2019-02-25,61,35
2019-02-26,58,38
2019-02-27,56,41
2019-02-28,55,
