Date,Depth,Temp
2013-10-01,0,61
2013-10-02,0,54
2013-10-03,0,51
2013-10-04,0,44
2013-10-05,0,39
2013-10-06,0,51
2013-10-07,0,51
2013-10-08,1,51
2013-10-09,2,53
2013-10-10,0,42
2013-10-11,5,35
2013-10-12,4,43
2013-10-13,3,43
2013-10-14,3,38
2013-10-15,3,40
2013-10-16,3,29
2013-10-17,5,42
2013-10-18,3,36
2013-10-19,3,39
2013-10-20,3,41
2013-10-21,3,39
2013-10-22,3,45
2013-10-23,3,49
2013-10-24,0,49
2013-10-25,0,36
2013-10-26,7,39
2013-10-27,6,42
2013-10-28,6,39
2013-10-29,6,42
2013-10-30,5,31
2013-10-31,6,26
2013-11-01,8,34
2013-11-02,8,49
2013-11-03,8,33
2013-11-04,8,40
2013-11-05,7,30
2013-11-06,12,35
2013-11-07,12,46
2013-11-08,11,40
2013-11-09,11,48
2013-11-10,10,47
2013-11-11,10,46
2013-11-12,10,44
2013-11-13,10,42
2013-11-14,10,38
2013-11-15,10,35
2013-11-16,16,27
2013-11-17,14,28
2013-11-18,12,39
2013-11-19,17,38
2013-11-20,16,32
2013-11-21,18,30
2013-11-22,18,29
2013-11-23,18,29
2013-11-24,26,24
2013-11-25,28,26
2013-11-26,29,31
2013-11-27,28,37
2013-11-28,28,35
2013-11-29,27,32
2013-11-30,25,35
2013-12-01,24,29
2013-12-02,25,35
2013-12-03,25,36
2013-12-04,25,28
2013-12-05,22,17
2013-12-06,29,9
2013-12-07,27,17
2013-12-08,31,11
2013-12-09,31,8
2013-12-10,31,22
2013-12-11,31,30
2013-12-12,30,38
2013-12-13,28,27
2013-12-14,28,26
2013-12-15,28,41
2013-12-16,28,40
2013-12-17,28,49
2013-12-18,25,41
2013-12-19,25,35
2013-12-20,25,30
2013-12-21,25,18
2013-12-22,25,15
2013-12-23,25,31
2013-12-24,28,32
2013-12-25,28,31
2013-12-26,28,38
2013-12-27,28,36
2013-12-28,28,34
2013-12-29,28,21
2013-12-30,28,33
2013-12-31,28,30
2014-01-01,28,28
2014-01-02,27,38
2014-01-03,27,36
2014-01-04,27,31
2014-01-05,27,10
2014-01-06,27,30
2014-01-07,27,38
2014-01-08,27,27
2014-01-09,27,30
2014-01-10,27,24
2014-01-11,27,36
2014-01-12,26,28
2014-01-13,25,22
2014-01-14,24,28
2014-01-15,24,31
2014-01-16,24,37
2014-01-17,24,31
2014-01-18,24,39
2014-01-19,24,33
2014-01-20,24,41
2014-01-21,24,37
2014-01-22,23,35
2014-01-23,23,22
2014-01-24,23,35
2014-01-25,23,43
2014-01-26,23,34
2014-01-27,23,31
2014-01-28,23,25
2014-01-29,22,30
2014-01-30,22,38
2014-01-31,22,27
2014-02-01,22,18
2014-02-02,22,22
2014-02-03,22,21
2014-02-04,26,14
2014-02-05,37,14
2014-02-06,35,21
2014-02-07,34,19
2014-02-08,30,28
2014-02-09,30,37
2014-02-10,30,32
2014-02-11,29,28
2014-02-12,29,36
2014-02-13,28,37
2014-02-14,28,40
2014-02-15,28,41
2014-02-16,27,42
2014-02-17,27,46
2014-02-18,27,41
2014-02-19,27,41
2014-02-20,26,18
2014-02-21,26,30
2014-02-22,26,36
2014-02-23,25,37
2014-02-24,25,38
2014-02-25,26,41
2014-02-26,28,36
2014-02-27,25,33
2014-02-28,25,33
2014-03-01,25,30
2014-03-02,36,24
2014-03-03,36,31
2014-03-04,36,36
2014-03-05,39,35
2014-03-06,39,38
2014-03-07,39,39
2014-03-08,39,26
2014-03-09,40,43
2014-03-10,39,48
2014-03-11,39,37
2014-03-12,38,33
2014-03-13,38,38
2014-03-14,40,30
2014-03-15,41,29
2014-03-16,41,36
2014-03-17,40,43
2014-03-18,36,28
2014-03-19,36,32
2014-03-20,35,43
2014-03-21,37,45
2014-03-22,30,40
2014-03-23,36,36
2014-03-24,34,40
2014-03-25,37,46
2014-03-26,32,31
2014-03-27,37,31
2014-03-28,35,36
2014-03-29,34,43
2014-03-30,34,45
2014-03-31,34,38
2014-04-01,33,43
2014-04-02,33,41
2014-04-03,34,23
2014-04-04,37,34
2014-04-05,35,37
2014-04-06,35,30
2014-04-07,40,35
2014-04-08,37,46
2014-04-09,37,50
2014-04-10,34,51
2014-04-11,33,52
2014-04-12,32,50
2014-04-13,31,45
2014-04-14,33,24
2014-04-15,34,42
2014-04-16,30,46
2014-04-17,30,43
2014-04-18,30,51
2014-04-19,30,43
2014-04-20,30,42
2014-04-21,30,49
2014-04-22,29,50
2014-04-23,29,48
2014-04-24,28,43
2014-04-25,28,48
2014-04-26,28,45
2014-04-27,28,24
2014-04-28,30,29
2014-04-29,30,34
2014-04-30,30,33
2014-05-01,30,34
2014-05-02,30,48
2014-05-03,30,54
2014-05-04,27,55
2014-05-05,26,54
2014-05-06,25,49
2014-05-07,25,46
2014-05-08,25,34
2014-05-09,25,44
2014-05-10,24,52
2014-05-11,21,47
2014-05-12,21,33
2014-05-13,21,24
2014-05-14,21,36
2014-05-15,21,47
2014-05-16,21,54
2014-05-17,19,54
2014-05-18,17,55
2014-05-19,15,57
2014-05-20,13,56
2014-05-21,11,54
2014-05-22,8,57
2014-05-23,7,47
2014-05-24,6,44
2014-05-25,8,42
2014-05-26,8,42
2014-05-27,7,58
2014-05-28,4,61
2014-05-29,2,57
2014-05-30,1,58
2014-05-31,1,63
