Date,Depth,Temp
2009-10-01,0,41
2009-10-02,0,47
2009-10-03,0,50
2009-10-04,0,51
2009-10-05,0,48
2009-10-06,0,44
2009-10-07,0,45
2009-10-08,0,41
2009-10-09,0,42
2009-10-10,0,47
2009-10-11,0,47
2009-10-12,0,48
2009-10-13,0,42
2009-10-14,0,50
2009-10-15,0,51
2009-10-16,0,54
2009-10-17,0,51
2009-10-18,0,55
2009-10-19,0,50
2009-10-20,0,48
2009-10-21,2,35
2009-10-22,10,31
2009-10-23,8,36
2009-10-24,7,39
2009-10-25,6,38
2009-10-26,6,27
2009-10-27,8,40
2009-10-28,7,29
2009-10-29,14,18
2009-10-30,14,37
2009-10-31,11,51
2009-11-01,10,55
2009-11-02,10,52
2009-11-03,9,49
2009-11-04,9,54
2009-11-05,8,52
2009-11-06,8,50
2009-11-07,7,52
2009-11-08,7,46
2009-11-09,8,44
2009-11-10,8,46
2009-11-11,7,49
2009-11-12,7,41
2009-11-13,7,33
2009-11-14,8,27
2009-11-15,12,20
2009-11-16,13,35
2009-11-17,12,46
2009-11-18,12,38
2009-11-19,12,40
2009-11-20,12,42
2009-11-21,12,38
2009-11-22,12,38
2009-11-23,12,30
2009-11-24,12,38
2009-11-25,11,46
2009-11-26,11,46
2009-11-27,11,44
2009-11-28,11,33
2009-11-29,13,27
2009-11-30,14,30
2009-12-01,14,40
2009-12-02,13,29
2009-12-03,13,13
2009-12-04,16,20
2009-12-05,15,30
2009-12-06,14,19
2009-12-07,14,23
2009-12-08,21,23
2009-12-09,24,11
2009-12-10,23,22
2009-12-11,22,31
2009-12-12,22,23
2009-12-13,21,25
2009-12-14,22,24
2009-12-15,22,36
2009-12-16,21,44
2009-12-17,21,35
2009-12-18,21,32
2009-12-19,21,36
2009-12-20,21,43
2009-12-21,20,33
2009-12-22,20,28
2009-12-23,21,19
2009-12-24,27,14
2009-12-25,26,12
2009-12-26,25,23
2009-12-27,25,26
2009-12-28,24,30
2009-12-29,23,24
2009-12-30,24,17
2009-12-31,27,19
2010-01-01,29,39
2010-01-02,27,33
2010-01-03,26,28
2010-01-04,26,34
2010-01-05,25,33
2010-01-06,24,30
2010-01-07,25,25
2010-01-08,25,26
2010-01-09,24,39
2010-01-10,24,39
2010-01-11,24,38
2010-01-12,23,42
2010-01-13,23,38
2010-01-14,23,25
2010-01-15,23,37
2010-01-16,23,41
2010-01-17,23,39
2010-01-18,23,27
2010-01-19,25,24
2010-01-20,37,20
2010-01-21,40,27
2010-01-22,39,28
2010-01-23,47,15
2010-01-24,,13
2010-01-25,47,26
2010-01-26,45,31
2010-01-27,44,38
2010-01-28,44,24
2010-01-29,44,31
2010-01-30,44,39
2010-01-31,43,33
2010-02-01,42,27
2010-02-02,42,34
2010-02-03,41,26
2010-02-04,44,23
2010-02-05,44,28
2010-02-06,44,30
2010-02-07,43,28
2010-02-08,45,20
2010-02-09,,22
2010-02-10,48,27
2010-02-11,50,28
2010-02-12,50,25
2010-02-13,48,27
2010-02-14,48,27
2010-02-15,47,29
2010-02-16,48,28
2010-02-17,48,38
2010-02-18,47,35
2010-02-19,47,35
2010-02-20,45,29
2010-02-21,47,24
2010-02-22,52,20
2010-02-23,62,24
2010-02-24,59,28
2010-02-25,58,21
2010-02-26,57,24
2010-02-27,56,40
2010-02-28,55,28
2010-03-01,,29
2010-03-02,59,34
2010-03-03,57,39
2010-03-04,57,40
2010-03-05,55,31
2010-03-06,55,42
2010-03-07,54,33
2010-03-08,58,27
2010-03-09,64,27
2010-03-10,64,27
2010-03-11,68,27
2010-03-12,71,29
2010-03-13,68,38
2010-03-14,65,31
2010-03-15,69,31
2010-03-16,72,37
2010-03-17,70,45
2010-03-18,66,42
2010-03-19,65,35
2010-03-20,79,19
2010-03-21,79,40
2010-03-22,74,43
2010-03-23,71,36
2010-03-24,77,24
2010-03-25,82,36
2010-03-26,78,37
2010-03-27,75,25
2010-03-28,76,36
2010-03-29,73,47
2010-03-30,71,51
2010-03-31,69,47
2010-04-01,68,38
2010-04-02,68,21
2010-04-03,69,39
2010-04-04,67,44
2010-04-05,66,48
2010-04-06,64,30
2010-04-07,64,33
2010-04-08,64,40
2010-04-09,62,47
2010-04-10,61,48
2010-04-11,60,49
2010-04-12,59,50
2010-04-13,58,48
2010-04-14,56,53
2010-04-15,55,52
2010-04-16,54,48
2010-04-17,53,38
2010-04-18,54,45
2010-04-19,53,47
2010-04-20,53,48
2010-04-21,52,50
2010-04-22,51,38
2010-04-23,62,24
2010-04-24,62,34
2010-04-25,61,44
2010-04-26,57,48
2010-04-27,55,50
2010-04-28,54,49
2010-04-29,53,41
2010-04-30,57,26
2010-05-01,60,31
2010-05-02,56,27
2010-05-03,61,41
2010-05-04,58,52
2010-05-05,55,54
2010-05-06,53,53
2010-05-07,52,49
2010-05-08,50,47
2010-05-09,49,53
2010-05-10,48,44
2010-05-11,47,52
2010-05-12,44,40
2010-05-13,44,44
2010-05-14,42,41
2010-05-15,43,44
2010-05-16,43,50
2010-05-17,41,55
2010-05-18,40,50
2010-05-19,39,47
2010-05-20,38,53
2010-05-21,37,57
2010-05-22,35,56
2010-05-23,33,56
2010-05-24,32,44
2010-05-25,31,53
2010-05-26,29,55
2010-05-27,27,59
2010-05-28,25,58
2010-05-29,24,58
2010-05-30,23,57
2010-05-31,20,59
