Date,Depth,Temp
2008-10-01,1,55
2008-10-02,1,57
2008-10-03,1,57
2008-10-04,0,48
2008-10-05,,36
2008-10-06,8,40
2008-10-07,8,45
2008-10-08,6,59
2008-10-09,5,53
2008-10-10,5,51
2008-10-11,3,44
2008-10-12,1,42
2008-10-13,2,41
2008-10-14,1,36
2008-10-15,5,41
2008-10-16,3,50
2008-10-17,3,52
2008-10-18,3,53
2008-10-19,2,49
2008-10-20,1,53
2008-10-21,1,48
2008-10-22,1,30
2008-10-23,2,35
2008-10-24,1,45
2008-10-25,1,49
2008-10-26,0,55
2008-10-27,1,53
2008-10-28,1,55
2008-10-29,0,53
2008-10-30,1,51
2008-10-31,1,54
2008-11-01,1,53
2008-11-02,1,51
2008-11-03,1,45
2008-11-04,1,40
2008-11-05,1,27
2008-11-06,2,25
2008-11-07,1,44
2008-11-08,1,45
2008-11-09,1,44
2008-11-10,3,26
2008-11-11,5,30
2008-11-12,5,36
2008-11-13,4,47
2008-11-14,3,40
2008-11-15,4,45
2008-11-16,3,47
2008-11-17,3,49
2008-11-18,3,50
2008-11-19,3,51
2008-11-20,3,42
2008-11-21,3,39
2008-11-22,3,45
2008-11-23,3,40
2008-11-24,3,46
2008-11-25,3,39
2008-11-26,2,45
2008-11-27,2,34
2008-11-28,10,25
2008-11-29,10,24
2008-11-30,9,25
2008-12-01,9,30
2008-12-02,8,41
2008-12-03,8,28
2008-12-04,10,28
2008-12-05,9,37
2008-12-06,7,47
2008-12-07,8,43
2008-12-08,7,30
2008-12-09,,20
2008-12-10,15,37
2008-12-11,13,40
2008-12-12,12,36
2008-12-13,16,26
2008-12-14,17,21
2008-12-15,20,22
2008-12-16,30,23
2008-12-17,29,27
2008-12-18,28,28
2008-12-19,34,20
2008-12-20,33,20
2008-12-21,32,24
2008-12-22,30,22
2008-12-23,36,21
2008-12-24,43,20
2008-12-25,41,25
2008-12-26,41,61
2008-12-27,44,46
2008-12-28,42,31
2008-12-29,41,43
2008-12-30,40,37
2008-12-31,39,39
2009-01-01,38,31
2009-01-02,38,41
2009-01-03,37,32
2009-01-04,37,21
2009-01-05,39,21
2009-01-06,39,15
2009-01-07,38,31
2009-01-08,38,42
2009-01-09,37,35
2009-01-10,40,26
2009-01-11,43,34
2009-01-12,41,27
2009-01-13,40,32
2009-01-14,38,34
2009-01-15,37,40
2009-01-16,37,42
2009-01-17,36,41
2009-01-18,36,41
2009-01-19,36,47
2009-01-20,35,43
2009-01-21,35,47
2009-01-22,34,41
2009-01-23,35,31
2009-01-24,34,31
2009-01-25,34,28
2009-01-26,34,32
2009-01-27,33,17
2009-01-28,37,22
2009-01-29,36,29
2009-01-30,35,42
2009-01-31,35,35
2009-02-01,35,36
2009-02-02,35,28
2009-02-03,35,42
2009-02-04,34,41
2009-02-05,34,40
2009-02-06,34,40
2009-02-07,34,43
2009-02-08,34,33
2009-02-09,38,20
2009-02-10,,17
2009-02-11,50,25
2009-02-12,46,26
2009-02-13,44,26
2009-02-14,43,26
2009-02-15,43,36
2009-02-16,42,40
2009-02-17,41,25
2009-02-18,41,25
2009-02-19,41,30
2009-02-20,40,35
2009-02-21,40,40
2009-02-22,39,43
2009-02-23,39,44
2009-02-24,39,43
2009-02-25,38,46
2009-02-26,38,39
2009-02-27,38,38
2009-02-28,38,39
2009-03-01,37,46
2009-03-02,37,48
2009-03-03,37,47
2009-03-04,36,46
2009-03-05,37,41
2009-03-06,36,32
2009-03-07,35,26
2009-03-08,38,39
2009-03-09,38,28
2009-03-10,40,25
2009-03-11,40,42
2009-03-12,39,40
2009-03-13,39,28
2009-03-14,42,32
2009-03-15,41,32
2009-03-16,41,45
2009-03-17,40,47
2009-03-18,39,51
2009-03-19,39,49
2009-03-20,38,48
2009-03-21,37,50
2009-03-22,36,47
2009-03-23,37,28
2009-03-24,37,35
2009-03-25,37,32
2009-03-26,36,26
2009-03-27,47,19
2009-03-28,48,35
2009-03-29,45,38
2009-03-30,44,24
2009-03-31,44,33
2009-04-01,43,25
2009-04-02,44,36
2009-04-03,42,45
2009-04-04,41,24
2009-04-05,42,29
2009-04-06,42,42
2009-04-07,41,45
2009-04-08,40,46
2009-04-09,39,37
2009-04-10,40,44
2009-04-11,39,28
2009-04-12,55,29
2009-04-13,62,37
2009-04-14,57,45
2009-04-15,55,45
2009-04-16,54,34
2009-04-17,53,25
2009-04-18,65,36
2009-04-19,62,42
2009-04-20,59,49
2009-04-21,56,53
2009-04-22,54,56
2009-04-23,52,57
2009-04-24,51,51
2009-04-25,50,49
2009-04-26,48,42
2009-04-27,48,46
2009-04-28,46,51
2009-04-29,46,52
2009-04-30,44,54
2009-05-01,43,55
2009-05-02,42,41
2009-05-03,43,42
2009-05-04,43,51
2009-05-05,42,54
2009-05-06,41,58
2009-05-07,39,60
2009-05-08,37,59
2009-05-09,35,53
2009-05-10,32,58
2009-05-11,30,55
2009-05-12,27,58
2009-05-13,24,58
2009-05-14,23,54
2009-05-15,20,59
2009-05-16,19,49
2009-05-17,17,57
2009-05-18,15,57
2009-05-19,14,59
2009-05-20,13,61
2009-05-21,10,49
2009-05-22,9,40
2009-05-23,8,40
2009-05-24,7,44
2009-05-25,,48
2009-05-26,5,50
2009-05-27,4,46
2009-05-28,3,48
2009-05-29,2,56
2009-05-30,1,57
2009-05-31,1,53
